word;transcription;translation;unit;topic;form
dog;dɒɡ;собака;18;PETS AND FARM ANIMALS;5
donkey;ˈdɒŋki;віслюк;18;PETS AND FARM ANIMALS;5
kitten;ˈkɪtən;кошеня;18;PETS AND FARM ANIMALS;5
mouse;maʊs;миша;18;PETS AND FARM ANIMALS;5
puppy;ˈpʌpi;цуценя;18;PETS AND FARM ANIMALS;5
rabbit;ˈræbɪt;кролик;18;PETS AND FARM ANIMALS;5
sheep;ʃiːp;вівця, вівці;18;PETS AND FARM ANIMALS;5
difficult;ˈdɪfɪkəlt;складний;20;ADJECTIVES (1);5
easy;ˈiːzi;легкий;20;ADJECTIVES (1);5
excited;ɪkˈsaɪtɪd;збуджений, схвильований;20;ADJECTIVES (1);5
fast;fɑːst;швидкий;20;ADJECTIVES (1);5
friendly;ˈfrendli;дружній;20;ADJECTIVES (1);5
late;leɪt;пізній;20;ADJECTIVES (1);5
loud;laʊd;гучний;20;ADJECTIVES (1);5
slow;sləʊ;повільний;20;ADJECTIVES (1);5
brilliant;ˈbrɪljənt;неперевершений;20;ADJECTIVES (2);5
fun;fʌn;веселий;20;ADJECTIVES (2);5
heavy;ˈhevi;важкий;20;ADJECTIVES (2);5
new;njuː;новий;20;ADJECTIVES (2);5
pleased;pliːzd;задоволений;20;ADJECTIVES (2);5
quick;kwɪk;швидкий;20;ADJECTIVES (2);5
ready;ˈredi;готовий;20;ADJECTIVES (2);5
strong;strɒŋ;сильний;20;ADJECTIVES (2);5
